Loyalty Number,Country,Province,City,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month
100052,Canada,Quebec,Laval,Male,Bachelor,84993,Divorced,Aurora,7935.84,2018 Promotion,2018,2,,
100053,United States,,New York,Female,Master,94031,Single,Star,1127.83,Standard,2016,5,2018.0,6.0
100054,Canada,British Columbia,Surrey,Male,Bachelor,78468,Married,Nova,11861.92,2018 Promotion,2018,2,2018.0,9.0
100055,Canada,British Columbia,Victoria,Female,High School or Below,48941,Married,Aurora,7682.11,Standard,2015,7,,
100056,United States,,New York,Male,Master,113173,Single,Star,9655.64,2018 Promotion,2018,4,,
100057,Canada,Ontario,Mississauga,Female,College,62918,Single,Nova,4733.54,Standard,2012,1,,
100058,Canada,Alberta,Lethbridge,Male,Bachelor,96955,Married,Star,999.71,2018 Promotion,2018,3,,
100059,Canada,Ontario,London,Female,High School or Below,53503,Single,Nova,3287.99,Standard,2015,1,,
100060,Canada,Ontario,London,Male,Master,102237,Married,Star,2080.39,Standard,2013,5,,
100061,Canada,Ontario,London,Female,Bachelor,72639,Married,Star,2553.29,2018 Promotion,2018,2,2018.0,9.0
100062,Canada,Ontario,Ottawa,Male,Bachelor,68198,Married,Star,482.15,Standard,2018,12,2018.0,7.0
100063,Canada,Quebec,Gatineau,Female,Bachelor,88358,Single,Star,4782.76,2018 Promotion,2018,3,,
100064,Canada,Manitoba,Winnipeg,Female,Master,126123,Married,Aurora,8104.51,2018 Promotion,2018,4,,
100065,Canada,Alberta,Lethbridge,Male,Doctor,144536,Divorced,Nova,1991.1,Standard,2016,11,2018.0,12.0
100066,Canada,Ontario,Hamilton,Male,Bachelor,80401,Single,Star,733.06,Standard,2013,7,,
100067,Canada,Quebec,Montreal,Female,Bachelor,95354,Single,Star,2525.01,Standard,2013,4,,
100068,Canada,Ontario,Toronto,Male,College,53009,Married,Nova,1660.21,2018 Promotion,2018,2,,
100069,Canada,Alberta,Edmonton,Male,Bachelor,81262,Single,Nova,2683.68,Standard,2015,4,,
100070,United Kingdom,,Manchester,Female,College,51232,Married,Nova,4616.65,2018 Promotion,2018,4,,
100071,Canada,Alberta,Calgary,Female,Bachelor,90742,Married,Star,570.57,Standard,2013,3,,
100072,Canada,Ontario,Mississauga,Male,Bachelor,68382,Married,Aurora,7798.32,2018 Promotion,2018,3,2018.0,3.0
100073,Canada,Alberta,Lethbridge,Female,College,68279,Married,Star,1071.16,Standard,2018,10,,
100074,Canada,Manitoba,Winnipeg,Female,High School or Below,42332,Married,Nova,1988.35,Standard,2017,8,,
100075,Canada,Ontario,Hamilton,Female,Master,134295,Married,Star,5540.9,Standard,2018,5,,
100076,Canada,Ontario,Ottawa,Female,Bachelor,54599,Married,Nova,2427.81,Standard,2012,2,,
100077,Canada,Quebec,Montreal,Male,College,62243,Single,Nova,8419.01,Standard,2016,7,,
100078,Canada,Alberta,Calgary,Female,Bachelor,87374,Married,Star,2300.98,Standard,2013,7,,
100079,Canada,Prince Edward Island,Charlottetown,Male,Bachelor,76871,Divorced,Aurora,11224.02,Standard,2018,1,,
100080,Canada,Quebec,Montreal,Male,Master,136212,Single,Nova,1212.01,2018 Promotion,2018,2,,
100081,Canada,Quebec,Laval,Male,College,73066,Single,Star,1068.27,Standard,2016,12,,
100082,Canada,Ontario,Toronto,Female,Master,114535,Divorced,Nova,3341.01,Standard,2016,6,,
100083,Canada,Ontario,Ottawa,Female,College,55997,Single,Aurora,19788.08,Standard,2016,11,,
100084,Canada,British Columbia,Burnaby,Female,Master,98461,Married,Nova,1145.33,Standard,2014,12,,
100085,Canada,Quebec,Laval,Female,Master,91179,Single,Star,6025.35,2018 Promotion,2018,2,,
100086,Canada,Quebec,Laval,Male,Bachelor,88808,Single,Nova,8043.95,Standard,2012,12,,
100087,Canada,Ontario,Hamilton,Male,Master,79179,Single,Star,8185.98,Standard,2014,4,,
100088,Canada,Ontario,London,Male,Bachelor,83681,Divorced,Nova,9571.51,Standard,2013,8,,
100089,Canada,Ontario,Hamilton,Female,College,61107,Single,Star,1595.52,Standard,2014,12,2018.0,5.0
100090,Canada,British Columbia,Burnaby,Female,Doctor,118347,Single,Star,2911.19,2018 Promotion,2018,4,,
100091,Canada,Quebec,Gatineau,Male,College,64027,Single,Star,812.4,2018 Promotion,2018,2,,
100092,Canada,Ontario,Toronto,Female,Bachelor,77511,Married,Star,1982.2,2018 Promotion,2018,3,,
100093,Canada,Ontario,London,Female,Bachelor,82863,Divorced,Star,2862.37,Standard,2015,3,,
100094,Canada,Newfoundland and Labrador,St. Johns,Female,Bachelor,81422,Single,Nova,1090.48,Standard,2013,5,,
100095,Canada,Alberta,Calgary,Male,Master,97149,Married,Aurora,6550.04,Standard,2014,10,,
100096,Canada,Quebec,Laval,Female,College,57572,Single,Star,2407.32,2018 Promotion,2018,3,2018.0,6.0
100097,Canada,Ontario,London,Male,Bachelor,89309,Single,Aurora,12492.05,Standard,2017,4,,
100098,Canada,New Brunswick,Moncton,Male,College,69269,Married,Aurora,13721.68,Standard,2012,11,,
100099,Canada,Alberta,Red Deer,Male,Master,117119,Divorced,Nova,2648.2,2018 Promotion,2018,2,2018.0,4.0
100100,Canada,Ontario,Mississauga,Male,College,68440,Married,Nova,2335.25,Standard,2018,10,,
100101,Canada,Alberta,Lethbridge,Female,College,47563,Married,Nova,3586.79,2018 Promotion,2018,4,,
100102,Canada,Ontario,Toronto,Female,High School or Below,39441,Single,Star,2095.4,Standard,2016,4,2018.0,2.0
100103,Canada,Quebec,Laval,Female,Bachelor,69758,Married,Nova,3622.27,Standard,2017,9,,
100104,Canada,Quebec,Quebec City,Female,College,50565,Married,Nova,4702.21,2018 Promotion,2018,3,,
100105,Canada,Ontario,Mississauga,Male,Bachelor,77327,Married,Star,1132.52,Standard,2017,4,,
100106,Canada,Alberta,Calgary,Female,Master,86784,Married,Nova,3493.37,Standard,2016,11,,
100107,Canada,Ontario,Hamilton,Female,High School or Below,42790,Single,Nova,2335.34,Standard,2017,8,2018.0,3.0
100108,Canada,British Columbia,Victoria,Female,Master,95445,Divorced,Star,1493.89,Standard,2017,2,2018.0,11.0
100109,Canada,New Brunswick,Fredericton,Male,College,70863,Divorced,Star,1289.18,Standard,2015,7,,
100110,Canada,Nova Scotia,Halifax,Male,Master,102650,Married,Nova,1852.09,Standard,2015,10,,
100111,Canada,Alberta,Calgary,Female,Master,130733,Divorced,Star,14067.95,Standard,2018,6,,
100112,Canada,Manitoba,Winnipeg,Male,Bachelor,101750,Divorced,Star,1263.84,Standard,2015,2,,
100113,United States,,Manchester,Male,Bachelor,79907,Single,Star,5421.88,Standard,2017,5,2018.0,8.0
100114,Canada,Nova Scotia,Dartmouth,Male,Bachelor,81198,Married,Nova,2548.9,Standard,2018,12,,
100115,Canada,Manitoba,Brandon,Male,Bachelor,92183,Married,Nova,5278.99,Standard,2013,12,,
100116,Canada,Ontario,Ottawa,Female,Bachelor,64219,Divorced,Star,11095.13,Standard,2015,6,2018.0,11.0
100117,Canada,British Columbia,Victoria,Female,Master,117247,Married,Star,1080.3,Standard,2014,1,,
100118,Canada,Manitoba,Winnipeg,Male,College,72673,Married,Star,5487.71,Standard,2015,2,,
100119,Canada,Nova Scotia,Dartmouth,Male,Master,92769,Single,Nova,9305.09,Standard,2014,1,,
100120,Canada,Quebec,Laval,Male,College,60882,Divorced,Nova,2620.35,Standard,2017,4,,
100121,Canada,Ontario,Ottawa,Male,Bachelor,75418,Married,Nova,4492.48,Standard,2014,8,,
100122,Canada,Quebec,Quebec City,Male,College,68359,Single,Nova,2110.0,Standard,2014,11,,
100123,Canada,British Columbia,Surrey,Female,Master,130310,Married,Star,1939.09,Standard,2012,1,,
100124,Canada,Ontario,Hamilton,Male,Bachelor,65909,Married,Nova,2729.07,2018 Promotion,2018,2,,
100125,Canada,Ontario,Hamilton,Female,Bachelor,83614,Married,Nova,1871.24,Standard,2017,5,,
100126,Canada,Ontario,Hamilton,Male,College,63026,Single,Aurora,4026.19,Standard,2015,1,,
100127,Canada,Ontario,London,Male,Bachelor,91294,Married,Star,7944.92,Standard,2016,1,,
100128,Canada,Quebec,Laval,Male,High School or Below,40637,Married,Nova,5882.83,Standard,2012,6,,
100129,Canada,Ontario,London,Female,College,55650,Married,Nova,5788.48,Standard,2015,5,,
100130,Canada,Ontario,Ottawa,Male,College,72682,Married,Star,4203.7,2018 Promotion,2018,3,,
100131,Canada,Ontario,Mississauga,Female,Doctor,108920,Single,Nova,647.82,Standard,2016,1,,
100132,Canada,Quebec,Montreal,Male,Bachelor,84088,Married,Nova,560.85,Standard,2015,9,2018.0,8.0
100133,Canada,Quebec,Gatineau,Female,Bachelor,75925,Divorced,Aurora,13731.22,Standard,2018,9,,
100134,Canada,British Columbia,Burnaby,Female,Master,99850,Married,Nova,2357.55,2018 Promotion,2018,4,,
100135,United States,,London,Female,Bachelor,104121,Divorced,Aurora,11869.98,Standard,2013,5,,
100136,Canada,Ontario,Toronto,Female,Bachelor,82911,Married,Aurora,9428.9,Standard,2016,7,,
100137,Canada,Ontario,Toronto,Male,Bachelor,101007,Married,Star,3115.18,Standard,2016,2,,
100138,Canada,Nova Scotia,Halifax,Female,College,71730,Single,Aurora,7148.99,Standard,2013,6,,
100139,Canada,Nova Scotia,Halifax,Female,Bachelor,96373,Single,Star,1677.34,Standard,2018,5,,
100140,United Kingdom,,London,Male,Master,83414,Married,Nova,10417.41,Standard,2018,8,,
100141,United States,,Manchester,Male,Doctor,139778,Married,Star,1671.49,Standard,2016,2,,
100142,Canada,Quebec,Gatineau,Female,Bachelor,97143,Married,Aurora,2584.48,Standard,2012,1,,
100143,Canada,New Brunswick,Fredericton,Male,High School or Below,53188,Married,Nova,2262.28,Standard,2013,3,,
100144,Canada,Alberta,Red Deer,Female,Bachelor,84392,Single,Nova,999.63,2018 Promotion,2018,2,2018.0,3.0
100145,Canada,Ontario,Hamilton,Male,College,62129,Married,Nova,461.38,2018 Promotion,2018,3,,
100146,Canada,British Columbia,Surrey,Male,College,52033,Single,Star,4015.06,Standard,2018,2,,
100147,Canada,Alberta,Red Deer,Male,College,38914,Married,Star,1771.81,Standard,2018,3,,
100148,Canada,British Columbia,Victoria,Male,College,53482,Married,Star,2266.34,Standard,2014,11,2018.0,10.0
100149,Canada,Alberta,Lethbridge,Male,High School or Below,56628,Married,Nova,3508.45,Standard,2016,1,,
100150,Canada,Quebec,Gatineau,Female,Bachelor,67342,Single,Star,983.51,Standard,2016,1,,
100151,Canada,Ontario,Hamilton,Female,College,62373,Married,Aurora,8641.4,Standard,2016,5,,
100152,Canada,New Brunswick,Fredericton,Female,College,66287,Single,Nova,1919.03,2018 Promotion,2018,3,2017.0,5.0
100153,Canada,Alberta,Lethbridge,Male,College,54662,Single,Star,13307.52,Standard,2014,8,,
100154,Canada,British Columbia,Vancouver,Female,Bachelor,77291,Married,Nova,3413.81,2018 Promotion,2018,2,2018.0,12.0
100155,United Kingdom,,Los Angeles,Male,Bachelor,77979,Married,Nova,3238.78,Standard,2017,10,,
100156,Canada,Ontario,Toronto,Female,Bachelor,82183,Single,Star,3525.25,2018 Promotion,2018,4,,
100157,Canada,Ontario,Hamilton,Female,Doctor,150857,Married,Star,1875.38,Standard,2013,8,2017.0,9.0
100158,Canada,Ontario,Ottawa,Male,Master,113644,Single,Aurora,4742.66,Standard,2018,9,,
100159,Canada,Ontario,London,Male,Bachelor,69843,Single,Star,808.36,Standard,2016,8,,
100160,Canada,Nova Scotia,Halifax,Female,Master,125542,Single,Nova,4323.99,2018 Promotion,2018,3,,
100161,Canada,Quebec,Montreal,Male,College,59383,Married,Star,2229.09,Standard,2016,12,,
100162,Canada,Ontario,Ottawa,Female,College,40467,Married,Star,1976.99,2018 Promotion,2018,2,,
100163,Canada,Ontario,Mississauga,Female,Bachelor,67937,Married,Nova,6366.59,2018 Promotion,2018,3,,
100164,Canada,Manitoba,Winnipeg,Female,College,57130,Married,Star,1443.45,Standard,2017,5,2017.0,6.0
100165,Canada,Ontario,Toronto,Male,Bachelor,73538,Married,Aurora,8810.57,Standard,2014,1,,
100166,Canada,British Columbia,Victoria,Male,College,50500,Single,Star,245.26,Standard,2015,11,,
100167,Canada,Ontario,Toronto,Male,College,58948,Married,Nova,3076.26,Standard,2018,10,,
100168,Canada,Ontario,London,Female,College,70984,Married,Nova,2224.29,2018 Promotion,2018,2,,
100169,Canada,Quebec,Quebec City,Male,Bachelor,89730,Married,Star,3142.35,Standard,2017,9,,
100170,Canada,Quebec,Gatineau,Male,High School or Below,38775,Divorced,Star,1322.69,Standard,2013,4,2018.0,4.0
100171,Canada,Ontario,Hamilton,Male,Bachelor,104642,Married,Star,1502.31,Standard,2018,4,,
100172,Canada,Quebec,Gatineau,Male,Master,117659,Single,Star,2785.86,Standard,2017,12,,
100173,Canada,Ontario,London,Female,Bachelor,69481,Single,Nova,28309.12,Standard,2014,11,,
100174,Canada,Alberta,Red Deer,Female,Bachelor,70463,Single,Star,2926.67,Standard,2018,2,,
100175,Canada,British Columbia,Victoria,Female,Bachelor,81156,Divorced,Nova,1858.37,Standard,2016,9,,
100176,Canada,Saskatchewan,Regina,Female,Bachelor,88494,Single,Star,8165.66,Standard,2017,9,,
100177,Canada,Alberta,Edmonton,Male,Bachelor,96153,Single,Star,4127.26,Standard,2018,8,,
100178,Canada,Alberta,Calgary,Female,Bachelor,63929,Single,Star,1907.26,Standard,2018,8,2018.0,2.0
100179,United States,,London,Female,Master,104551,Single,Nova,8872.69,Standard,2016,12,,
100180,Canada,British Columbia,Victoria,Male,Doctor,144696,Married,Nova,5363.25,Standard,2015,1,,
100181,Canada,Nova Scotia,Dartmouth,Male,Bachelor,85926,Single,Star,1634.48,Standard,2018,12,2018.0,5.0
100182,Canada,Ontario,London,Female,Bachelor,76116,Married,Nova,3290.24,2018 Promotion,2018,2,,
100183,United States,,London,Male,Bachelor,86309,Single,Nova,2054.88,Standard,2017,11,,
100184,Canada,British Columbia,Victoria,Female,College,65595,Single,Aurora,2581.99,Standard,2015,8,,
100185,Canada,Ontario,Ottawa,Female,Doctor,107041,Married,Star,1881.85,Standard,2016,10,,
100186,Canada,Ontario,Toronto,Male,High School or Below,44881,Single,Star,4553.42,Standard,2016,10,,
100187,Canada,Ontario,Mississauga,Male,High School or Below,30872,Single,Nova,5903.32,2018 Promotion,2018,3,,
100188,Canada,Alberta,Calgary,Female,Bachelor,64102,Single,Star,1909.26,Standard,2016,4,2017.0,10.0
100189,Canada,Quebec,Quebec City,Female,Bachelor,64711,Married,Nova,9002.52,Standard,2012,7,,
100190,Canada,British Columbia,Burnaby,Female,Bachelor,69758,Married,Star,1177.56,Standard,2012,9,,
100191,Canada,British Columbia,Vancouver,Male,Bachelor,87915,Married,Star,4654.88,Standard,2014,6,,
100192,Canada,Alberta,Calgary,Female,Master,97345,Married,Nova,4186.7,Standard,2012,9,2018.0,1.0
100193,Canada,British Columbia,Victoria,Female,Bachelor,93439,Married,Star,1037.36,Standard,2014,7,,
100194,Canada,Ontario,Hamilton,Male,Bachelor,84217,Married,Aurora,6288.13,Standard,2016,8,,
100195,Canada,Ontario,Hamilton,Male,Bachelor,85111,Single,Nova,20087.31,2018 Promotion,2018,3,,
100196,Canada,Manitoba,Winnipeg,Male,Bachelor,95281,Single,Aurora,6332.19,Standard,2018,8,2017.0,3.0
100197,Canada,British Columbia,Burnaby,Male,Bachelor,67930,Married,Nova,519.29,Standard,2016,12,,
100198,Canada,Ontario,Mississauga,Female,College,61510,Married,Nova,2888.01,Standard,2018,5,,
100199,Canada,Ontario,Hamilton,Male,High School or Below,45475,Divorced,Star,1180.22,Standard,2015,10,,
100200,Canada,Ontario,Toronto,Female,College,58874,Married,Aurora,3090.25,Standard,2014,8,,
100201,Canada,Manitoba,Winnipeg,Female,Bachelor,98319,Married,Star,3207.14,Standard,2016,7,,
100202,Canada,Ontario,Ottawa,Female,Bachelor,88528,Married,Star,2325.01,Standard,2018,7,2018.0,7.0
100203,Canada,British Columbia,Surrey,Male,Bachelor,74895,Married,Aurora,3707.22,Standard,2018,6,,
100204,Canada,Saskatchewan,Regina,Male,Master,93259,Married,Nova,1472.29,Standard,2018,5,,
100205,Canada,Ontario,Toronto,Female,Bachelor,80763,Single,Star,1864.46,Standard,2012,9,,
100206,Canada,Ontario,Toronto,Female,College,68865,Married,Star,1241.83,2018 Promotion,2018,3,,
100207,Canada,Ontario,Ottawa,Male,College,65130,Married,Aurora,4779.13,Standard,2018,3,,
100208,Canada,Quebec,Quebec City,Male,High School or Below,46994,Married,Aurora,5394.28,2018 Promotion,2018,3,,
100209,Canada,Ontario,London,Male,College,53944,Single,Aurora,3828.17,Standard,2017,6,2018.0,2.0
100210,Canada,Quebec,Montreal,Female,College,56535,Married,Nova,5777.47,Standard,2017,7,,
100211,Canada,Ontario,Ottawa,Female,College,41215,Married,Star,2778.01,Standard,2013,2,,
100212,Canada,Alberta,Red Deer,Male,Master,117242,Married,Aurora,10850.89,2018 Promotion,2018,4,,
100213,Canada,British Columbia,Vancouver,Female,Master,112844,Married,Aurora,21065.61,Standard,2015,11,,
100214,Canada,Nova Scotia,Dartmouth,Male,Bachelor,115478,Single,Star,2731.87,Standard,2018,12,,
100215,Canada,Ontario,Mississauga,Female,Bachelor,85590,Single,Nova,1964.92,Standard,2018,10,,
100216,Canada,Ontario,London,Female,Bachelor,96615,Married,Star,913.18,Standard,2018,1,,
100217,Canada,Ontario,Toronto,Female,High School or Below,47955,Married,Nova,1754.09,2018 Promotion,2018,3,,
100218,Canada,Alberta,Calgary,Female,Master,105049,Married,Nova,2875.38,Standard,2014,10,,
100219,Canada,Ontario,Mississauga,Male,College,63784,Divorced,Star,1780.05,Standard,2012,12,,
100220,Canada,Alberta,Red Deer,Female,Master,112299,Married,Star,6338.24,Standard,2015,8,,
100221,Canada,Quebec,Gatineau,Female,Bachelor,82641,Divorced,Star,521.72,Standard,2018,7,2018.0,9.0
100222,Canada,British Columbia,Victoria,Female,High School or Below,48717,Married,Nova,1219.13,Standard,2018,4,,
100223,Canada,Quebec,Montreal,Male,College,72316,Single,Nova,1650.31,Standard,2014,6,2018.0,4.0
100224,Canada,Quebec,Gatineau,Male,Bachelor,84385,Single,Star,11066.74,2018 Promotion,2018,3,,
100225,Canada,British Columbia,Vancouver,Male,College,69448,Single,Star,761.55,Standard,2016,3,,
100226,Canada,Quebec,Gatineau,Male,Bachelor,97678,Married,Nova,5353.87,Standard,2018,1,,
100227,United Kingdom,,New York,Male,College,63250,Married,Star,3237.29,Standard,2016,1,,
100228,Canada,British Columbia,Vancouver,Male,Bachelor,94153,Married,Star,3406.25,Standard,2014,1,2017.0,2.0
100229,Canada,Ontario,Mississauga,Female,Bachelor,58730,Married,Star,1597.2,Standard,2014,11,,
100230,Canada,Quebec,Gatineau,Female,Bachelor,77248,Married,Star,11967.65,2018 Promotion,2018,4,,
100231,Canada,Ontario,Ottawa,Male,College,59580,Single,Star,1759.37,2018 Promotion,2018,2,,
100232,Canada,Alberta,Red Deer,Male,Master,107158,Single,Aurora,13887.72,Standard,2018,9,,
100233,Canada,British Columbia,Vancouver,Female,Bachelor,92468,Single,Star,2036.75,Standard,2018,2,,
100234,Canada,Ontario,Ottawa,Male,Bachelor,74159,Divorced,Nova,961.34,Standard,2018,9,,
100235,Canada,Quebec,Gatineau,Female,Bachelor,65610,Single,Star,1915.05,Standard,2018,12,,
100236,Canada,Alberta,Lethbridge,Female,Master,104849,Married,Star,5495.95,Standard,2016,9,,
100237,Canada,Ontario,London,Male,Bachelor,67856,Single,Star,1939.81,Standard,2013,6,,
100238,Canada,Ontario,London,Female,College,55360,Married,Aurora,4555.24,Standard,2014,4,,
100239,Canada,Quebec,Quebec City,Female,Bachelor,66363,Single,Star,4889.51,Standard,2016,4,,
100240,Canada,Quebec,Laval,Male,Bachelor,100699,Divorced,Nova,4265.65,2018 Promotion,2018,4,2017.0,10.0
100241,United States,,London,Female,High School or Below,46153,Married,Star,3571.04,Standard,2014,11,,
100242,United States,,Chicago,Female,Bachelor,76190,Married,Aurora,2603.36,2018 Promotion,2018,2,2018.0,5.0
100243,Canada,Alberta,Lethbridge,Female,Master,92470,Married,Nova,3396.52,Standard,2017,12,2017.0,3.0
100244,Canada,Ontario,Hamilton,Female,Bachelor,76223,Single,Nova,1071.0,Standard,2015,10,,
100245,Canada,Ontario,Hamilton,Female,Bachelor,101454,Married,Star,1472.29,Standard,2013,5,,
100246,United States,,New York,Female,Bachelor,63907,Divorced,Nova,870.03,Standard,2017,6,2018.0,12.0
100247,Canada,Quebec,Montreal,Female,College,57670,Single,Aurora,7501.27,2018 Promotion,2018,4,,
100248,United States,,Chicago,Female,Bachelor,84955,Married,Nova,2242.24,Standard,2018,7,,
100249,United States,,Chicago,Male,Doctor,119586,Married,Aurora,1958.51,Standard,2017,1,,
100250,Canada,British Columbia,Burnaby,Female,College,52228,Married,Nova,4623.07,Standard,2014,12,,
100251,Canada,Ontario,Mississauga,Male,College,51369,Married,Aurora,5690.85,2018 Promotion,2018,2,,
100252,Canada,Ontario,London,Male,High School or Below,45622,Married,Star,1617.8,Standard,2017,3,,
100253,Canada,Alberta,Lethbridge,Male,Master,113401,Married,Aurora,3983.98,Standard,2017,8,,
100254,Canada,Alberta,Red Deer,Male,Bachelor,94653,Single,Nova,2102.15,Standard,2017,11,2018.0,3.0
100255,Canada,Ontario,Hamilton,Male,High School or Below,42514,Married,Aurora,10100.05,Standard,2017,8,,
100256,Canada,Ontario,London,Male,Master,112279,Married,Star,1303.94,Standard,2016,10,,
100257,United States,,Manchester,Female,Bachelor,95413,Divorced,Aurora,3528.36,Standard,2015,3,,
100258,Canada,Ontario,Toronto,Male,Doctor,147092,Married,Star,5701.0,2018 Promotion,2018,3,,
100259,Canada,Ontario,Mississauga,Male,Bachelor,83384,Married,Star,2363.16,2018 Promotion,2018,2,,
100260,Canada,Nova Scotia,Dartmouth,Female,Bachelor,74641,Married,Nova,2329.36,Standard,2017,6,,
100261,Canada,Ontario,Ottawa,Female,College,53387,Married,Aurora,1689.32,Standard,2015,5,,
100262,United Kingdom,,Manchester,Male,College,71698,Married,Aurora,2845.83,2018 Promotion,2018,4,2018.0,8.0
